count	total	average	class	func
	(msec)	(msec)		
28	150	5	HttpConnection	DoGet
223	70	0	HttpConnection	Send
251	60	0	HttpConnection	received
56	50	0	HttpConnection	Send
251	40	0	HttpConnection	Start
28	20	0	HttpConnection	GetAbsolutePath
28	20	0	HttpConnectionMgr	accepted
28	10	0	HttpConnection	Close
1	10	10	HttpServer	Start
1	10	10	HttpServer	start
28	0	0	HttpConnection	Create
1	0	0	HttpConnectionMgr	Close
1	0	0	HttpConnectionMgr	Create
28	0	0	HttpServer	GetContentType
1	0	0	HttpServer	Close
1	0	0	HttpServer	Create
1	0	0	HttpServer	stop
