,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/deliverTo/PhysicalAddress/GlobalLocationIdentifier,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/GlobalLocationIdentifier,,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/deliverTo/PhysicalAddress/cityName/FreeFormText,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/cityName/FreeFormText,,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/deliverTo/PhysicalAddress/addressLine1/FreeFormText,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/addressLine1/FreeFormText,,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/deliverTo/PhysicalAddress/addressLine2/FreeFormText,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/addressLine2/FreeFormText,,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/deliverTo/PhysicalAddress/addressLine3/FreeFormText,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/addressLine3/FreeFormText,,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/deliverTo/PhysicalAddress/GlobalCountryCode,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/GlobalCountryCode,,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/deliverTo/PhysicalAddress/NationalPostalCode,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/NationalPostalCode,,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/deliverTo/PhysicalAddress/regionName/FreeFormText,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/regionName/FreeFormText,,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/GlobalPurchaseOrderStatusCode,,Accept,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/GlobalShipmentTermsCode,,Return container freight paid by customer,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/RevisionNumber,,N/A,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/GlobalPurchaseOrderAcknowledgementReasonCode,,Pricing,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/purchaseOrderDate/DateStamp,,???,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/purchaseOrderNumber/ProprietaryDocumentIdentifier,,N/A,
,,,Pip3A4PurchaseOrderAcceptance/PurchaseOrder/comment/FreeFormText,,The request is accepted.,
,,,Pip3A4PurchaseOrderAcceptance/fromRole/PartnerRoleDescription/GlobalPartnerRoleClassificationCode,,Seller,
,,,Pip3A4PurchaseOrderAcceptance/fromRole/PartnerRoleDescription/PartnerDescription/GlobalPartnerClassificationCode,,???,MyInfo.Class
